TIPO,OFERTA,VALORES,VALORES_PROMO,RUA/AV,LOGRADOURO,LOCATION,CITY,STATE,AREA,QUARTO,GARAGEM,BANHEIRO,KEY,ALTO_PADRAO,AVALIA_IMOVEL_NO_NEGOCIO,MOBILIADO,PRONTO_PARA_MORAR,DATA_ANUNCIO,DATA_RETIRADA,LAT_STREET,LON_STREET
SALA/CONJUNTO COMERCIAL,COMPRA,190000,178600,RUA,DOS ANDRADAS,CENTRO HISTORICO,PORTO ALEGRE,RS,54.0,0,0,2,390122,0.0,0,0,0,2023-08-05,-,-30.0296388,-51.2232103
LOJA,COMPRA,190000,180500,AVENIDA,GETULIO VARGAS,MENINO DEUS,PORTO ALEGRE,RS,233.0,0,2,2,231797,0.0,1,0,0,2023-08-05,-,-29.6526379,-50.5738717
SALA/CONJUNTO COMERCIAL,COMPRA,189500,180000,RUA,VIGARIO JOSE INACIO,CENTRO HISTORICO,PORTO ALEGRE,RS,42.0,0,0,0,86009,0.0,1,0,0,2023-08-05,-,-29.5676459,-50.7909134
SALA/CONJUNTO COMERCIAL,COMPRA,185000,175750,AVENIDA,IGUASSU,PETROPOLIS,PORTO ALEGRE,RS,28.0,0,0,2,378447,0.0,0,0,0,2023-08-05,-,-30.0417055,-51.180103
SALA/CONJUNTO COMERCIAL,COMPRA,180850,163044,AVENIDA,ASSIS BRASIL,PASSO DA AREIA,PORTO ALEGRE,RS,25.0,0,1,2,416125,0.0,0,0,0,2023-08-05,-,-29.9799682,-51.1144159
SALA/CONJUNTO COMERCIAL,COMPRA,179000,170000,RUA,RIACHUELO,CENTRO HISTORICO,PORTO ALEGRE,RS,35.0,0,1,0,338489,0.0,0,0,0,2023-08-05,-,-30.0327864,-51.2345941
SALA/CONJUNTO COMERCIAL,COMPRA,172000,150000,AVENIDA,PROTASIO ALVES,PETROPOLIS,PORTO ALEGRE,RS,38.0,0,1,2,217759,0.0,0,0,0,2023-08-05,-,-30.0399646,-51.1714215
SALA/CONJUNTO COMERCIAL,COMPRA,170000,159000,RUA,COMENDADOR RHEINGANTZ,AUXILIADORA,PORTO ALEGRE,RS,38.0,0,1,0,190143,0.0,0,0,0,2023-08-05,-,-30.0238169,-51.1865
SALA/CONJUNTO COMERCIAL,COMPRA,170000,159800,PRACA,QUINZE DE NOVEMBRO,CENTRO HISTORICO,PORTO ALEGRE,RS,57.0,0,0,2,390269,0.0,0,0,0,2023-08-05,-,-30.028453550000002,-51.22724002054571
SALA/CONJUNTO COMERCIAL,COMPRA,168000,149000,AVENIDA,INDEPENDENCIA,INDEPENDENCIA,PORTO ALEGRE,RS,39.0,0,1,0,365140,0.0,0,0,0,2023-08-05,-,-30.0293303,-51.2148669
