TIPO,OFERTA,VALORES,VALORES_PROMO,RUA/AV,LOGRADOURO,LOCATION,CITY,STATE,AREA,QUARTO,GARAGEM,BANHEIRO,KEY,ALUGA_RAPIDO_SEM_FIADOR_OU_GARANTIAS,AUXI_PLUS,EXCLUSIVO,MOBILIADO,DATA_ANUNCIO,DATA_RETIRADA,LAT_STREET,LON_STREET
CASA EM CONDOMINIO,ALUGAR,20011,15500,RUA,ATTILIO BILIBIO,JARDIM CARVALHO,PORTO ALEGRE,RS,443.0,3,3,5,397700,1,0,0,1,2023-08-03,-,-,-
APARTAMENTO,ALUGAR,3005,2500,RUA,FELICISSIMO DE AZEVEDO,AUXILIADORA,PORTO ALEGRE,RS,101.0,3,1,2,399546,1,0,0,0,2023-08-03,-,-30.0174708,-51.1886484
APARTAMENTO,ALUGAR,2830,2400,RUA,ENGENHEIRO JOAO LUDERITZ,SARANDI,PORTO ALEGRE,RS,57.0,2,1,2,399579,1,0,0,0,2023-08-03,-,-30.0100398,-51.1355546
CASA EM CONDOMINIO,ALUGAR,5833,4500,AVENIDA,ENGENHEIRO LUDOLFO BOEHL,TERESOPOLIS,PORTO ALEGRE,RS,170.0,3,2,2,399601,1,0,0,0,2023-08-03,-,-30.084602,-51.2041701
APARTAMENTO,ALUGAR,5228,3900,AVENIDA,LAGEADO,PETROPOLIS,PORTO ALEGRE,RS,43.0,1,0,1,389874,1,0,0,0,2023-08-03,-,-30.0401239,-51.1867485
APARTAMENTO,ALUGAR,4472,2990,AVENIDA,LAGEADO,PETROPOLIS,PORTO ALEGRE,RS,45.0,1,0,1,389898,1,1,0,0,2023-08-03,-,-30.0401239,-51.1867485
APARTAMENTO,ALUGAR,2720,2000,RUA,FREDERICO OTAVIO DOMINGUES BARBOSA,JARDIM LINDOIA,PORTO ALEGRE,RS,61.0,2,1,2,369331,0,0,0,0,2023-08-03,-,-30.0056294,-51.1415747
APARTAMENTO,ALUGAR,5791,5000,AVENIDA,GENERAL BARRETO VIANA,CHACARA DAS PEDRAS,PORTO ALEGRE,RS,73.0,3,1,1,375908,1,0,0,1,2023-08-03,-,-30.029693,-51.1584751
APARTAMENTO,ALUGAR,5912,4500,AVENIDA,LAGEADO,PETROPOLIS,PORTO ALEGRE,RS,43.0,1,0,2,373396,1,0,0,1,2023-08-03,-,-30.0401239,-51.1867485
APARTAMENTO,ALUGAR,12892,10500,AVENIDA,TULIO DE ROSE,JARDIM EUROPA,PORTO ALEGRE,RS,170.0,3,2,4,361653,1,0,0,0,2023-08-03,-,-30.0228829,-51.1632627
APARTAMENTO,ALUGAR,6007,4600,AVENIDA,LAGEADO,PETROPOLIS,PORTO ALEGRE,RS,43.0,1,0,1,362255,1,1,0,1,2023-08-03,-,-30.0401239,-51.1867485
CASA EM CONDOMINIO,ALUGAR,10696,8000,AVENIDA,JUCA BATISTA,BELEM NOVO,PORTO ALEGRE,RS,244.0,3,1,4,380271,1,0,0,0,2023-08-03,-,-30.1850987,-51.1747929
APARTAMENTO,ALUGAR,3895,2500,AVENIDA,DIARIO DE NOTICIAS,CRISTAL,PORTO ALEGRE,RS,44.0,1,0,2,318854,1,0,0,1,2023-08-03,-,-30.0875211,-51.2479632
APARTAMENTO,ALUGAR,3739,2500,RUA,AFONSO TAUNAY,BOA VISTA,PORTO ALEGRE,RS,83.0,3,2,2,320486,1,0,0,0,2023-08-03,-,-30.0199255,-51.1739751
LOFT,ALUGAR,2825,2200,AVENIDA,IPIRANGA,PARTENON,PORTO ALEGRE,RS,34.0,1,1,2,334176,1,0,0,1,2023-08-03,-,-30.0554878,-51.1692291
LOFT,ALUGAR,2806,2200,AVENIDA,IPIRANGA,PARTENON,PORTO ALEGRE,RS,34.0,1,1,2,334179,1,0,0,1,2023-08-03,-,-30.0554878,-51.1692291
